100	nPeriods
2000	0	Production_P_p
200	1	Inventory_H_h
115	250	dt_ct
74	388	dt_ct
91	266	dt_ct
36	288	dt_ct
123	313	dt_ct
22	317	dt_ct
56	257	dt_ct
152	259	dt_ct
180	278	dt_ct
173	319	dt_ct
53	228	dt_ct
165	372	dt_ct
167	331	dt_ct
48	292	dt_ct
100	328	dt_ct
174	295	dt_ct
116	273	dt_ct
44	294	dt_ct
87	268	dt_ct
106	229	dt_ct
55	300	dt_ct
39	371	dt_ct
131	202	dt_ct
85	215	dt_ct
62	300	dt_ct
58	336	dt_ct
119	308	dt_ct
59	345	dt_ct
25	352	dt_ct
45	248	dt_ct
146	257	dt_ct
22	354	dt_ct
88	234	dt_ct
53	277	dt_ct
111	271	dt_ct
130	256	dt_ct
0	351	dt_ct
24	363	dt_ct
92	232	dt_ct
87	383	dt_ct
46	326	dt_ct
198	393	dt_ct
134	271	dt_ct
94	312	dt_ct
33	238	dt_ct
26	328	dt_ct
190	353	dt_ct
179	339	dt_ct
59	226	dt_ct
55	252	dt_ct
110	391	dt_ct
121	359	dt_ct
57	262	dt_ct
68	216	dt_ct
84	224	dt_ct
104	278	dt_ct
110	200	dt_ct
8	212	dt_ct
134	297	dt_ct
186	284	dt_ct
139	257	dt_ct
45	288	dt_ct
52	238	dt_ct
169	343	dt_ct
130	300	dt_ct
8	216	dt_ct
49	216	dt_ct
35	205	dt_ct
141	355	dt_ct
183	351	dt_ct
138	366	dt_ct
198	338	dt_ct
99	311	dt_ct
97	397	dt_ct
92	262	dt_ct
59	321	dt_ct
155	278	dt_ct
9	355	dt_ct
153	267	dt_ct
190	376	dt_ct
143	348	dt_ct
179	300	dt_ct
11	301	dt_ct
195	271	dt_ct
130	309	dt_ct
109	388	dt_ct
127	294	dt_ct
99	382	dt_ct
26	238	dt_ct
15	274	dt_ct
92	225	dt_ct
189	220	dt_ct
54	289	dt_ct
179	207	dt_ct
89	347	dt_ct
68	228	dt_ct
88	271	dt_ct
197	301	dt_ct
153	236	dt_ct
175	383	dt_ct
